V4_1,Data Marking,calendar-years,Time,mmm,Month,administrative-geography,Geography,property-type,PropertyType,build-status,BuildStatus,house-sales-and-prices,HouseSalesAndPrices
5378.0,,2018,2018,dec,December,E08000010,Wigan,all,All,all,All,sales,Count of sales
4961.0,,2017,2017,dec,December,E08000010,Wigan,all,All,all,All,sales,Count of sales
4503.0,,2020,2020,dec,December,E08000010,Wigan,all,All,all,All,sales,Count of sales
146995.0,,2019,2019,dec,December,E08000010,Wigan,all,All,all,All,median,Median price
5164.0,,2019,2019,dec,December,E08000010,Wigan,all,All,all,All,sales,Count of sales
4966.0,,2021,2021,dec,December,E08000010,Wigan,all,All,all,All,sales,Count of sales
160000.0,,2021,2021,dec,December,E08000010,Wigan,all,All,all,All,median,Median price
132500.0,,2017,2017,dec,December,E08000010,Wigan,all,All,all,All,median,Median price
138000.0,,2018,2018,dec,December,E08000010,Wigan,all,All,all,All,median,Median price
148910.36726,,2017,2017,dec,December,E08000010,Wigan,all,All,all,All,mean,Mean price
150100.0,,2020,2020,dec,December,E08000010,Wigan,all,All,all,All,median,Median price
170339.18588,,2020,2020,dec,December,E08000010,Wigan,all,All,all,All,mean,Mean price
95000.0,,2017,2017,dec,December,E08000010,Wigan,all,All,all,All,lower-quartile,Lower quartile price
99950.0,,2018,2018,dec,December,E08000010,Wigan,all,All,all,All,lower-quartile,Lower quartile price
103250.0,,2019,2019,dec,December,E08000010,Wigan,all,All,all,All,lower-quartile,Lower quartile price
155389.03477,,2018,2018,dec,December,E08000010,Wigan,all,All,all,All,mean,Mean price
162241.3385,,2019,2019,dec,December,E08000010,Wigan,all,All,all,All,mean,Mean price
179953.43657,,2021,2021,dec,December,E08000010,Wigan,all,All,all,All,mean,Mean price
110500.0,,2020,2020,dec,December,E08000010,Wigan,all,All,all,All,lower-quartile,Lower quartile price
118000.0,,2021,2021,dec,December,E08000010,Wigan,all,All,all,All,lower-quartile,Lower quartile price
72000.0,,2017,2017,dec,December,E08000010,Wigan,all,All,all,All,tenth-percentile,Tenth percentile price
77000.0,,2019,2019,dec,December,E08000010,Wigan,all,All,all,All,tenth-percentile,Tenth percentile price
84000.0,,2020,2020,dec,December,E08000010,Wigan,all,All,all,All,tenth-percentile,Tenth percentile price
90000.0,,2021,2021,dec,December,E08000010,Wigan,all,All,all,All,tenth-percentile,Tenth percentile price
,.,2022,2022,dec,December,E08000010,Wigan,all,All,all,All,tenth-percentile,Tenth percentile price
74000.0,,2018,2018,dec,December,E08000010,Wigan,all,All,all,All,tenth-percentile,Tenth percentile price
,.,2022,2022,dec,December,E08000010,Wigan,all,All,all,All,lower-quartile,Lower quartile price
,.,2022,2022,dec,December,E08000010,Wigan,all,All,all,All,median,Median price
,.,2022,2022,dec,December,E08000010,Wigan,all,All,all,All,sales,Count of sales
,.,2022,2022,dec,December,E08000010,Wigan,all,All,all,All,mean,Mean price
4112.0,,2021,2021,dec,December,E08000009,Trafford,all,All,all,All,sales,Count of sales
3745.0,,2018,2018,dec,December,E08000009,Trafford,all,All,all,All,sales,Count of sales
3477.0,,2019,2019,dec,December,E08000009,Trafford,all,All,all,All,sales,Count of sales
2985.0,,2020,2020,dec,December,E08000009,Trafford,all,All,all,All,sales,Count of sales
3752.0,,2017,2017,dec,December,E08000009,Trafford,all,All,all,All,sales,Count of sales
271500.0,,2019,2019,dec,December,E08000009,Trafford,all,All,all,All,median,Median price
320000.0,,2021,2021,dec,December,E08000009,Trafford,all,All,all,All,median,Median price
324568.39786,,2018,2018,dec,December,E08000009,Trafford,all,All,all,All,mean,Mean price
250000.0,,2017,2017,dec,December,E08000009,Trafford,all,All,all,All,median,Median price
262500.0,,2018,2018,dec,December,E08000009,Trafford,all,All,all,All,median,Median price
297000.0,,2020,2020,dec,December,E08000009,Trafford,all,All,all,All,median,Median price
317959.32862,,2017,2017,dec,December,E08000009,Trafford,all,All,all,All,mean,Mean price
185000.0,,2018,2018,dec,December,E08000009,Trafford,all,All,all,All,lower-quartile,Lower quartile price
391954.10798,,2021,2021,dec,December,E08000009,Trafford,all,All,all,All,mean,Mean price
331446.25626,,2019,2019,dec,December,E08000009,Trafford,all,All,all,All,mean,Mean price
359564.29916,,2020,2020,dec,December,E08000009,Trafford,all,All,all,All,mean,Mean price
179997.5,,2017,2017,dec,December,E08000009,Trafford,all,All,all,All,lower-quartile,Lower quartile price
235000.0,,2021,2021,dec,December,E08000009,Trafford,all,All,all,All,lower-quartile,Lower quartile price
217500.0,,2020,2020,dec,December,E08000009,Trafford,all,All,all,All,lower-quartile,Lower quartile price
190000.0,,2019,2019,dec,December,E08000009,Trafford,all,All,all,All,lower-quartile,Lower quartile price
129350.0,,2019,2019,dec,December,E08000009,Trafford,all,All,all,All,tenth-percentile,Tenth percentile price
178250.0,,2021,2021,dec,December,E08000009,Trafford,all,All,all,All,tenth-percentile,Tenth percentile price
135000.0,,2017,2017,dec,December,E08000009,Trafford,all,All,all,All,tenth-percentile,Tenth percentile price
160000.0,,2020,2020,dec,December,E08000009,Trafford,all,All,all,All,tenth-percentile,Tenth percentile price
140000.0,,2018,2018,dec,December,E08000009,Trafford,all,All,all,All,tenth-percentile,Tenth percentile price
,.,2022,2022,dec,December,E08000009,Trafford,all,All,all,All,tenth-percentile,Tenth percentile price
,.,2022,2022,dec,December,E08000009,Trafford,all,All,all,All,lower-quartile,Lower quartile price
,.,2022,2022,dec,December,E08000009,Trafford,all,All,all,All,sales,Count of sales
,.,2022,2022,dec,December,E08000009,Trafford,all,All,all,All,median,Median price
,.,2022,2022,dec,December,E08000009,Trafford,all,All,all,All,mean,Mean price
2531.0,,2020,2020,dec,December,E08000008,Tameside,all,All,all,All,sales,Count of sales
3477.0,,2021,2021,dec,December,E08000008,Tameside,all,All,all,All,sales,Count of sales
3467.0,,2018,2018,dec,December,E08000008,Tameside,all,All,all,All,sales,Count of sales
3146.0,,2019,2019,dec,December,E08000008,Tameside,all,All,all,All,sales,Count of sales
137995.0,,2017,2017,dec,December,E08000008,Tameside,all,All,all,All,median,Median price
3334.0,,2017,2017,dec,December,E08000008,Tameside,all,All,all,All,sales,Count of sales
175000.0,,2021,2021,dec,December,E08000008,Tameside,all,All,all,All,median,Median price
154854.0195,,2017,2017,dec,December,E08000008,Tameside,all,All,all,All,mean,Mean price
152000.0,,2019,2019,dec,December,E08000008,Tameside,all,All,all,All,median,Median price
160000.0,,2020,2020,dec,December,E08000008,Tameside,all,All,all,All,median,Median price
140000.0,,2018,2018,dec,December,E08000008,Tameside,all,All,all,All,median,Median price
195156.8191,,2021,2021,dec,December,E08000008,Tameside,all,All,all,All,mean,Mean price
179181.81509,,2020,2020,dec,December,E08000008,Tameside,all,All,all,All,mean,Mean price
159444.32708,,2018,2018,dec,December,E08000008,Tameside,all,All,all,All,mean,Mean price
166599.50127,,2019,2019,dec,December,E08000008,Tameside,all,All,all,All,mean,Mean price
140000.0,,2021,2021,dec,December,E08000008,Tameside,all,All,all,All,lower-quartile,Lower quartile price
118500.0,,2019,2019,dec,December,E08000008,Tameside,all,All,all,All,lower-quartile,Lower quartile price
111000.0,,2018,2018,dec,December,E08000008,Tameside,all,All,all,All,lower-quartile,Lower quartile price
105000.0,,2017,2017,dec,December,E08000008,Tameside,all,All,all,All,lower-quartile,Lower quartile price
125000.0,,2020,2020,dec,December,E08000008,Tameside,all,All,all,All,lower-quartile,Lower quartile price
85000.0,,2017,2017,dec,December,E08000008,Tameside,all,All,all,All,tenth-percentile,Tenth percentile price
87000.0,,2018,2018,dec,December,E08000008,Tameside,all,All,all,All,tenth-percentile,Tenth percentile price
93000.0,,2019,2019,dec,December,E08000008,Tameside,all,All,all,All,tenth-percentile,Tenth percentile price
114000.0,,2021,2021,dec,December,E08000008,Tameside,all,All,all,All,tenth-percentile,Tenth percentile price
,.,2022,2022,dec,December,E08000008,Tameside,all,All,all,All,tenth-percentile,Tenth percentile price
103000.0,,2020,2020,dec,December,E08000008,Tameside,all,All,all,All,tenth-percentile,Tenth percentile price
,.,2022,2022,dec,December,E08000008,Tameside,all,All,all,All,mean,Mean price
,.,2022,2022,dec,December,E08000008,Tameside,all,All,all,All,median,Median price
,.,2022,2022,dec,December,E08000008,Tameside,all,All,all,All,sales,Count of sales
,.,2022,2022,dec,December,E08000008,Tameside,all,All,all,All,lower-quartile,Lower quartile price
5147.0,,2017,2017,dec,December,E08000007,Stockport,all,All,all,All,sales,Count of sales
4975.0,,2018,2018,dec,December,E08000007,Stockport,all,All,all,All,sales,Count of sales
4140.0,,2020,2020,dec,December,E08000007,Stockport,all,All,all,All,sales,Count of sales
4743.0,,2019,2019,dec,December,E08000007,Stockport,all,All,all,All,sales,Count of sales
5299.0,,2021,2021,dec,December,E08000007,Stockport,all,All,all,All,sales,Count of sales
270000.0,,2021,2021,dec,December,E08000007,Stockport,all,All,all,All,median,Median price
