V4_1,Data Marking,calendar-years,Time,mmm,Month,administrative-geography,Geography,property-type,PropertyType,build-status,BuildStatus,house-sales-and-prices,HouseSalesAndPrices
245497.5,,2017,2017,dec,December,E08000003,Manchester,detached,Detached,all,All,median,Median price
277000.0,,2019,2019,dec,December,E08000003,Manchester,detached,Detached,all,All,median,Median price
295000.0,,2020,2020,dec,December,E08000003,Manchester,detached,Detached,all,All,median,Median price
175000.0,,2018,2018,dec,December,E08000003,Manchester,flat-maisonette,Flat/maisonette,all,All,median,Median price
135995.0,,2017,2017,dec,December,E08000003,Manchester,terraced,Terraced,all,All,median,Median price
191995.0,,2021,2021,dec,December,E08000003,Manchester,terraced,Terraced,all,All,median,Median price
183000.0,,2019,2019,dec,December,E08000003,Manchester,flat-maisonette,Flat/maisonette,all,All,median,Median price
205000.0,,2019,2019,dec,December,E08000003,Manchester,semi-detached,Semi-detached,all,All,median,Median price
224000.0,,2020,2020,dec,December,E08000003,Manchester,semi-detached,Semi-detached,all,All,median,Median price
177750.0,,2017,2017,dec,December,E08000003,Manchester,semi-detached,Semi-detached,all,All,median,Median price
190000.0,,2018,2018,dec,December,E08000003,Manchester,semi-detached,Semi-detached,all,All,median,Median price
244000.0,,2021,2021,dec,December,E08000003,Manchester,semi-detached,Semi-detached,all,All,median,Median price
156997.5,,2019,2019,dec,December,E08000003,Manchester,terraced,Terraced,all,All,median,Median price
257000.0,,2018,2018,dec,December,E08000003,Manchester,detached,Detached,all,All,median,Median price
208275.0,,2021,2021,dec,December,E08000003,Manchester,flat-maisonette,Flat/maisonette,all,All,median,Median price
329995.0,,2021,2021,dec,December,E08000003,Manchester,detached,Detached,all,All,median,Median price
149997.5,,2018,2018,dec,December,E08000003,Manchester,terraced,Terraced,all,All,median,Median price
170000.0,,2020,2020,dec,December,E08000003,Manchester,terraced,Terraced,all,All,median,Median price
221186.0,,2020,2020,dec,December,E08000003,Manchester,flat-maisonette,Flat/maisonette,all,All,median,Median price
170000.0,,2017,2017,dec,December,E08000003,Manchester,flat-maisonette,Flat/maisonette,all,All,median,Median price
,.,2022,2022,dec,December,E08000003,Manchester,semi-detached,Semi-detached,all,All,median,Median price
,.,2022,2022,dec,December,E08000003,Manchester,flat-maisonette,Flat/maisonette,all,All,median,Median price
,.,2022,2022,dec,December,E08000003,Manchester,terraced,Terraced,all,All,median,Median price
,.,2022,2022,dec,December,E08000003,Manchester,detached,Detached,all,All,median,Median price
